DIVIPOLA,DEPARTAMENTO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15224,BOYACA,CUCAITA,0,0,0,0,0,0,0,,0,0,,5,0,0,5,2
15226,BOYACA,CUITIVA,0,0,0,0,76,0,0,,0,0,,0,0,0,0,0
15232,BOYACA,CHIQUIZA,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15236,BOYACA,CHIVOR,0,0,0,0,0,27,7,17,0,1,,8,0,1,10,0
15238,BOYACA,DUITAMA,135,0,435,340,214,670,118,71,181,115,114,18,85,4,3,1
15244,BOYACA,EL COCUY,20,0,0,0,0,0,0,,0,0,,13,0,4,1,0
15248,BOYACA,EL ESPINO,50,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15272,BOYACA,FIRAVITOBA,0,0,0,0,0,21,0,,0,0,12,0,0,0,0,0
15276,BOYACA,FLORESTA,0,0,0,3,9,6,0,,0,0,,0,0,0,0,0
15293,BOYACA,GACHANTIVA,0,0,0,26,0,0,0,,0,0,,0,0,0,0,0
15296,BOYACA,GAMEZA,0,0,0,0,0,0,0,11,0,5,,5,0,0,0,0
15299,BOYACA,GARAGOA,45,0,90,0,24,22,49,49,25,13,19,8,30,6,0,0
15317,BOYACA,GUACAMAYAS,0,0,0,0,0,0,0,,5,0,,3,0,4,0,0
15322,BOYACA,GUATEQUE,0,0,15,13,19,5,2,27,4,22,31,10,9,1,3,0
15325,BOYACA,GUAYATA,0,0,0,28,0,3,0,,6,5,10,6,8,0,5,0
15332,BOYACA,GsICAN,90,0,0,0,0,0,0,53,0,0,,1,0,3,4,0
15362,BOYACA,IZA,0,0,0,0,8,0,0,,0,0,,0,0,0,6,0
15367,BOYACA,JENESANO,0,0,0,0,0,0,18,,0,0,,0,0,0,0,0
15368,BOYACA,JERICO,0,0,0,0,0,0,0,,0,0,,18,0,8,0,0
15377,BOYACA,LABRANZAGRANDE,46,0,0,0,0,22,31,6,17,,,14,10,20,29,10
15380,BOYACA,LA CAPILLA,0,0,0,0,0,0,0,,0,0,,0,3,0,0,0
15401,BOYACA,LA VICTORIA,0,0,0,0,0,3,0,,0,2,,1,0,0,0,0
15403,BOYACA,LA UVITA,15,570,330,0,0,3,0,,0,1,,17,0,0,0,0
15407,BOYACA,VILLA DE LEYVA,0,0,27,0,0,0,0,24,2,6,16,0,11,0,0,0
15425,BOYACA,MACANAL,0,0,14,13,6,0,23,,1,,2,1,11,4,0,0
15442,BOYACA,MARIPI,0,0,0,0,0,0,0,,11,,,44,1,19,6,2
15455,BOYACA,MIRAFLORES,0,0,20,15,6,12,47,27,36,24,26,19,0,17,2,0
15464,BOYACA,MONGUA,0,0,15,0,0,71,18,,0,2,,16,0,11,5,0
15466,BOYACA,MONGUI,0,0,0,0,0,0,0,,9,0,,0,0,0,0,0
15469,BOYACA,MONIQUIRA,0,0,28,54,8,30,18,6,3,57,22,16,8,0,0,0
15476,BOYACA,MOTAVITA,0,0,0,0,6,8,0,,0,0,,0,0,0,0,0
15480,BOYACA,MUZO,0,0,10,15,8,35,15,42,25,6,,22,7,27,13,7
15491,BOYACA,NOBSA,0,0,0,0,5,30,27,,37,12,13,0,20,0,0,0
15494,BOYACA,NUEVO COLON,0,0,0,0,0,0,9,,10,0,,4,0,0,0,0
15500,BOYACA,OICATA,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15507,BOYACA,OTANCHE,0,78,16,108,0,23,38,77,0,40,12,53,4,13,74,16
15511,BOYACA,PACHAVITA,0,0,0,0,3,3,0,,0,0,,0,0,0,0,0
15514,BOYACA,PAEZ,0,0,18,22,8,0,56,,5,,,4,2,11,0,0
15516,BOYACA,PAIPA,0,0,84,36,26,76,73,50,33,38,53,1,18,3,0,0
15518,BOYACA,PAJARITO,25,0,367,16,110,30,0,,4,0,,14,0,32,14,6
15522,BOYACA,PANQUEBA,22,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15531,BOYACA,PAUNA,0,0,27,0,0,0,12,13,5,6,,25,3,0,11,6
15533,BOYACA,PAYA,34,0,0,0,0,48,0,,0,12,8,6,0,11,10,9
15537,BOYACA,PAZ DE RIO,0,0,0,0,17,0,0,,0,0,,0,0,0,0,0
15542,BOYACA,PESCA,0,0,0,6,0,67,0,,0,6,3,1,1,1,12,0
15550,BOYACA,PISBA,33,0,0,0,0,0,0,,0,0,,4,0,1,7,8
15572,BOYACA,PUERTO BOYACA,69,0,36,184,99,112,84,144,62,138,95,177,82,112,177,81
15580,BOYACA,QUIPAMA,0,0,24,0,0,22,0,,0,0,,9,0,7,9,0
15599,BOYACA,RAMIRIQUI,0,0,16,25,30,14,0,,0,0,,1,0,4,0,0
15600,BOYACA,RAQUIRA,0,0,0,0,1,0,0,,8,0,,0,0,0,0,0
15621,BOYACA,RONDON,0,52,0,0,0,0,0,,0,5,3,3,9,0,0,0
15632,BOYACA,SABOYA,0,0,0,0,0,0,0,7,0,0,,10,0,3,0,0
15638,BOYACA,SACHICA,0,0,16,0,0,0,0,,0,0,,0,0,0,4,0
15646,BOYACA,SAMACA,0,0,0,15,0,11,17,22,15,20,16,8,30,3,5,0
15660,BOYACA,SAN EDUARDO,0,0,0,0,6,0,40,,0,0,,8,0,0,1,0
15664,BOYACA,SAN JOSE DE PARE,0,0,0,0,0,0,0,,6,9,18,10,4,6,0,0
15667,BOYACA,SAN LUIS DE GACENO,30,0,25,21,26,42,0,14,20,29,17,23,0,8,8,0
15673,BOYACA,SAN MATEO,0,0,0,11,0,0,42,,0,0,,5,0,0,1,0
15676,BOYACA,SAN MIGUEL DE SEMA,0,0,0,6,0,0,21,,0,0,,0,0,4,0,0
15681,BOYACA,SAN PABLO DE BORBUR,0,0,35,2,0,0,0,,1,6,2,32,0,2,19,0
15686,BOYACA,SANTANA,0,0,0,0,0,5,9,9,19,4,,12,0,3,0,0
15690,BOYACA,SANTA MARIA,0,0,13,32,0,5,0,,8,12,,4,0,4,2,0
15693,BOYACA,SANTA ROSA DE VITERBO,0,0,0,25,15,14,10,,0,15,,0,0,1,0,0
15696,BOYACA,SANTA SOFIA,0,0,0,0,0,0,0,,0,0,,0,0,5,0,0
15720,BOYACA,SATIVANORTE,0,0,0,0,0,0,0,48,3,0,,0,0,0,9,0
15723,BOYACA,SATIVASUR,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15740,BOYACA,SIACHOQUE,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15753,BOYACA,SOATA,0,0,0,9,0,0,15,,8,0,5,0,4,0,0,0
15755,BOYACA,SOCOTA,56,0,0,20,0,5,0,,7,3,,3,0,11,10,12
15757,BOYACA,SOCHA,0,0,0,0,0,24,16,8,0,8,10,12,0,10,8,4
15759,BOYACA,SOGAMOSO,649,680,443,445,132,583,383,128,160,115,121,17,52,6,21,3
15761,BOYACA,SOMONDOCO,0,0,25,0,0,7,0,,0,7,1,9,0,0,1,0
15762,BOYACA,SORA,0,0,0,0,1,0,0,,0,0,,0,0,0,0,0
15763,BOYACA,SOTAQUIRA,0,0,0,0,0,0,5,,15,0,,0,4,0,0,0
15764,BOYACA,SORACA,0,0,0,0,0,0,0,,0,7,,0,0,0,0,0
15774,BOYACA,SUSACON,0,0,0,0,0,0,0,,0,0,,3,0,0,0,0
15776,BOYACA,SUTAMARCHAN,0,0,0,0,0,0,0,,4,4,,0,0,0,0,0
15778,BOYACA,SUTATENZA,0,0,15,0,4,3,0,41,0,0,,0,0,2,0,0
15790,BOYACA,TASCO,0,0,0,0,13,0,19,,3,20,,8,0,0,6,0
15798,BOYACA,TENZA,0,0,0,0,0,0,0,,0,0,3,0,0,0,3,0
15804,BOYACA,TIBANA,0,34,0,0,0,0,0,,0,0,,3,0,0,3,0
15806,BOYACA,TIBASOSA,0,0,0,19,26,32,21,,5,5,,0,0,0,0,0
15808,BOYACA,TINJACA,0,0,0,0,0,0,0,,6,0,,0,1,0,0,0
15810,BOYACA,TIPACOQUE,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15814,BOYACA,TOCA,0,36,49,0,0,0,0,,0,6,,3,4,0,4,0
15816,BOYACA,TOGsI,0,0,10,20,0,0,0,,7,4,8,40,0,0,0,0
15820,BOYACA,TOPAGA,0,0,0,0,0,0,0,,0,0,,0,0,3,0,0
15822,BOYACA,TOTA,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15832,BOYACA,TUNUNGUA,0,0,0,0,0,0,0,,0,0,,8,0,0,7,0
15835,BOYACA,TURMEQUE,0,0,0,0,0,0,0,,1,0,,0,0,0,0,0
15837,BOYACA,TUTA,0,0,0,3,0,0,0,,0,0,10,5,0,0,0,0
15839,BOYACA,TUTAZA,0,0,0,0,3,0,0,,0,2,,8,2,0,0,0
15842,BOYACA,UMBITA,0,0,0,0,0,0,0,,0,0,,0,10,0,4,0
15861,BOYACA,VENTAQUEMADA,0,0,0,0,0,0,12,,11,,,8,0,0,0,0
15879,BOYACA,VIRACACHA,0,0,11,13,0,0,0,,0,0,,0,0,0,0,0
15897,BOYACA,ZETAQUIRA,0,0,0,0,7,0,35,11,0,23,19,1,0,0,2,0
17001,CALDAS,MANIZALES,1074,892,968,3073,987,895,1339,389,1141,1295,1021,185,308,91,146,18
17013,CALDAS,AGUADAS,15,46,0,37,38,127,54,18,82,41,9,61,2,44,18,4
17042,CALDAS,ANSERMA,0,0,276,81,19,54,55,80,200,163,95,119,26,71,86,15
17050,CALDAS,ARANZAZU,0,0,0,55,11,5,10,34,7,16,6,26,7,4,3,7
17088,CALDAS,BELALCAZAR,0,0,13,0,6,18,0,,9,18,16,44,17,0,23,12
17174,CALDAS,CHINCHINA,0,0,32,21,82,48,50,86,163,114,82,114,19,53,59,15
17272,CALDAS,FILADELFIA,0,48,0,0,2,0,0,,7,24,6,19,11,12,5,10
17380,CALDAS,LA DORADA,250,297,197,1440,106,104,50,18,140,149,69,238,106,105,103,52
17388,CALDAS,LA MERCED,0,0,0,10,3,5,0,,0,5,2,18,20,14,6,3
17433,CALDAS,MANZANARES,0,38,95,74,6,26,34,7,41,18,9,66,6,34,17,0
17442,CALDAS,MARMATO,25,0,0,0,0,7,0,,0,5,,12,15,20,25,2
17444,CALDAS,MARQUETALIA,0,0,15,3000,24,161,14,9,40,45,21,75,6,44,34,15
17446,CALDAS,MARULANDA,0,30,0,28,6,7,8,67,4,3,,12,0,0,10,0
17486,CALDAS,NEIRA,0,100,0,25,21,17,0,7,35,23,,44,0,8,24,11
17495,CALDAS,NORCASIA,50,0,0,360,0,8,5,22,23,2,16,41,37,32,15,0
17513,CALDAS,PACORA,0,0,0,12,8,0,37,,13,5,11,21,4,22,15,0
17524,CALDAS,PALESTINA,0,60,0,0,34,18,40,,29,39,30,25,1,18,47,2
17541,CALDAS,PENSILVANIA,45,39,11,1284,77,652,42,84,218,91,32,156,12,117,120,29
17614,CALDAS,RIOSUCIO,76,42,337,390,117,124,48,9,37,107,39,107,38,157,151,41
17616,CALDAS,RISARALDA,0,0,15,25,7,6,14,13,47,24,,41,44,11,41,4
17653,CALDAS,SALAMINA,90,65,0,20,9,2,33,13,4,,,67,3,16,21,9
17662,CALDAS,SAMANA,55,223,219,2923,4453,3626,7027,4076,792,134,43,402,41,128,100,21
17665,CALDAS,SAN JOSE,0,0,0,0,55,5,0,8,10,8,,12,1,25,5,1
17777,CALDAS,SUPIA,103,17,12,88,0,24,5,,11,22,50,47,17,53,22,33
17867,CALDAS,VICTORIA,0,0,0,59,5,0,0,,9,5,21,35,2,8,25,6
17873,CALDAS,VILLAMARIA,0,0,0,98,59,77,75,13,48,104,67,35,24,21,4,7
17877,CALDAS,VITERBO,0,0,0,31,12,17,18,,9,5,23,22,6,15,9,10
18001,CAQUETA,FLORENCIA,3340,1550,2575,9968,13046,11268,7026,3817,5812,6278,5021,1345,4780,1221,1252,448
18029,CAQUETA,ALBANIA,0,0,26,13,65,40,117,35,117,136,46,231,37,115,163,27
18094,CAQUETA,BELEN DE LOS ANDAQUIES,0,0,483,239,203,94,355,224,265,320,243,400,147,263,263,97
18150,CAQUETA,CARTAGENA DEL CHAIRA,123,0,0,35,0,3565,314,324,245,135,86,1607,1064,1599,1567,396
18205,CAQUETA,CURILLO,80,120,0,524,201,329,110,138,163,203,74,568,106,500,449,126
18247,CAQUETA,EL DONCELLO,215,583,183,333,16,89,112,97,55,224,241,719,535,578,497,149
18256,CAQUETA,EL PAUJIL,167,438,224,212,53,501,204,288,269,467,366,1050,803,425,464,103
18410,CAQUETA,LA MONTAÑITA,47,150,147,315,271,734,123,195,276,286,201,1689,368,873,887,350
18460,CAQUETA,MILAN,0,0,0,77,18,1893,70,79,92,171,52,881,78,710,989,248
18479,CAQUETA,MORELIA,28,108,68,13,7,183,49,165,80,120,116,111,168,107,105,25
18592,CAQUETA,PUERTO RICO,276,519,311,74,0,236,333,508,425,318,315,1738,461,1711,1242,354
18610,CAQUETA,SAN JOSE DEL FRAGUA,168,0,18,59,21,187,112,115,234,145,111,733,140,680,618,124
18753,CAQUETA,SAN VICENTE DEL CAGUAN,40,0,51,149,6,1735,333,494,315,692,362,2231,408,2058,2273,730
18756,CAQUETA,SOLANO,0,0,18,0,0,267,104,104,50,183,98,958,102,801,611,219
18785,CAQUETA,SOLITA,0,0,173,48,5,26,103,114,86,176,168,557,309,448,399,109
18860,CAQUETA,VALPARAISO,0,150,55,61,205,124,75,229,121,219,111,434,211,236,272,51
19001,CAUCA,POPAYAN,3120,1550,10835,8194,1690,2900,5480,1560,6273,8666,7712,2376,8214,422,311,107
19022,CAUCA,ALMAGUER,0,60,0,24,0,5,10,,10,7,2,230,2,400,473,135
19050,CAUCA,ARGELIA,70,0,0,0,84,8,0,,2005,36,290,1748,1280,2511,1694,516
19075,CAUCA,BALBOA,0,0,10,17,5,50,42,55,223,147,108,692,88,737,615,152
19100,CAUCA,BOLIVAR,70,40,69,41,221,25,42,19,66,71,26,882,57,1529,1391,404
19110,CAUCA,BUENOS AIRES,135,622,4630,4,6,32,51,57,19,45,32,253,45,157,565,94
19130,CAUCA,CAJIBIO,60,1020,1425,10,4,73,20,14,75,88,59,614,56,603,517,123
19137,CAUCA,CALDONO,737,45,70,0,0,12,15,,34,26,30,159,480,441,151,76
19142,CAUCA,CALOTO,136,310,1015,207,10,0,432,1500,32,288,75,2037,1658,1319,279,96
19212,CAUCA,CORINTO,0,0,15,36,18,91,97,14,36,163,92,471,115,642,410,137
19256,CAUCA,EL TAMBO,150,35,1205,53,38,330,94,67,106,367,233,2244,1014,1865,1595,803
19290,CAUCA,FLORENCIA,40,0,0,3,3,44,57,,40,85,21,67,48,95,141,53
19300,CAUCA,GUACHENE,,,,,,,,,,,,17,0,14,39,12
19318,CAUCA,GUAPI,0,0,12,1440,41,85,0,,1135,114,264,636,956,3491,3166,1320
19355,CAUCA,INZA,0,0,0,0,6,13,0,47,32,29,43,167,34,152,242,70
19364,CAUCA,JAMBALO,191,0,0,0,0,19,1200,,0,0,22,300,40,233,90,31
19392,CAUCA,LA SIERRA,220,0,0,3,204,0,0,,22,15,9,97,0,147,242,60
19397,CAUCA,LA VEGA,0,30,0,13,4,16,24,12,53,9,10,396,35,738,764,398
19418,CAUCA,LOPEZ,0,0,561,0,726,21,0,,233,1144,587,1214,106,1061,2061,199
19450,CAUCA,MERCADERES,0,42,432,169,118,195,171,52,455,271,132,940,260,428,317,129
19455,CAUCA,MIRANDA,95,0,330,28,20,0,0,,36,267,86,110,385,1611,640,38
19473,CAUCA,MORALES,0,0,60,38,2,26,40,,64,129,202,175,440,2269,719,448
19513,CAUCA,PADILLA,0,0,0,0,0,0,0,,11,8,,17,0,17,19,4
19517,CAUCA,PAEZ,0,0,0,5,12,55,109,1640,47,418,51,193,115,363,235,57
19532,CAUCA,PATIA,50,0,402,355,212,119,103,335,168,227,237,697,202,669,602,230
19533,CAUCA,PIAMONTE,0,0,0,0,0,106,12,748,72,273,161,425,72,506,340,128
19548,CAUCA,PIENDAMO,138,31,348,169,36,107,115,43,130,193,185,120,151,184,114,54
19573,CAUCA,PUERTO TEJADA,120,0,11,61,0,12,0,,16,87,58,175,77,146,145,41
19585,CAUCA,PURACE,0,0,0,0,7,2,0,,0,1,,79,9,52,58,13
19622,CAUCA,ROSAS,0,0,40,15,1,45,137,,156,135,78,209,52,183,139,51
19693,CAUCA,SAN SEBASTIAN,0,0,0,0,0,129,7,,13,,,97,9,200,209,113
19698,CAUCA,SANTANDER DE QUILICHAO,576,1115,5247,96,49,116,559,58,243,455,927,237,393,600,531,195
19701,CAUCA,SANTA ROSA,0,0,15,0,250,167,28,,23,6,7,153,0,198,269,76
19743,CAUCA,SILVIA,160,0,30,183,4,5,8130,,5,0,,164,4,265,209,66
19760,CAUCA,SOTARA,0,40,0,0,0,0,19,46,23,,8,30,3,159,141,31
19780,CAUCA,SUAREZ,60,831,4450,0,7,71,30,11,15,37,83,119,758,6231,4594,114
19785,CAUCA,SUCRE,0,0,0,0,0,0,15,,0,92,16,167,95,251,179,66
19807,CAUCA,TIMBIO,40,77,90,124,100,63,103,75,229,235,340,213,267,323,268,87
19809,CAUCA,TIMBIQUI,0,0,70,152,0,0,5,,42,1450,318,678,1920,1910,2005,222
19821,CAUCA,TORIBIO,70,0,20,1501,255,304,4487,47,0,687,165,450,50,1430,464,363
19824,CAUCA,TOTORO,0,0,0,0,12,9,0,,11,7,5,39,0,104,75,17
19845,CAUCA,VILLA RICA,0,0,0,0,5,24,9,,48,66,67,18,59,95,27,7
20001,CESAR,VALLEDUPAR,4632,1520,4624,11391,6635,4549,7282,4037,4295,6297,3012,3745,488,383,492,75
20011,CESAR,AGUACHICA,986,343,650,1436,672,459,535,235,346,353,373,481,395,158,287,63
20013,CESAR,AGUSTIN CODAZZI,544,293,2902,5191,440,1379,419,343,479,184,74,217,27,167,183,50
20032,CESAR,ASTREA,0,657,232,0,0,43,17,13,21,14,3,100,6,92,78,10
20045,CESAR,BECERRIL,50,477,504,792,198,83,165,30,75,53,87,13,39,27,35,9
20060,CESAR,BOSCONIA,180,441,686,1036,241,511,503,366,173,177,114,74,27,44,40,14
20175,CESAR,CHIMICHAGUA,0,0,245,0,4,43,20,,13,13,42,141,9,174,150,10
20178,CESAR,CHIRIGUANA,68,151,1364,116,163,54,90,30,20,227,42,78,38,42,58,55
20228,CESAR,CURUMANI,768,246,425,774,560,237,461,123,130,81,94,809,31,110,95,53
20238,CESAR,EL COPEY,235,334,493,864,1367,392,91,34,5,,,114,8,41,52,6
20250,CESAR,EL PASO,0,0,291,0,0,61,44,,52,,19,62,11,52,116,15
20295,CESAR,GAMARRA,92,326,102,7,16,25,54,62,18,33,,41,41,32,7,10
20310,CESAR,GONZALEZ,0,0,25,0,0,0,16,,29,14,17,5,7,27,14,9
20383,CESAR,LA GLORIA,54,150,207,342,9,78,36,,5,98,22,75,11,37,34,4
20400,CESAR,LA JAGUA DE IBIRICO,447,164,66,40,79,394,195,13,29,68,61,65,34,101,50,10
20443,CESAR,MANAURE,0,0,115,972,315,386,178,51,272,69,12,19,43,42,6,3
20517,CESAR,PAILITAS,170,0,75,1296,195,753,75,97,95,90,82,107,24,80,47,30
20550,CESAR,PELAYA,0,352,0,1190,157,819,80,29,68,778,105,98,38,60,35,17
20570,CESAR,PUEBLO BELLO,0,0,143,594,1253,531,0,36,79,76,34,27,16,41,20,10
20614,CESAR,RIO DE ORO,185,0,60,165,0,10,47,,118,33,60,70,10,33,23,4
20621,CESAR,LA PAZ,110,14,236,1126,16,106,61,148,230,379,169,61,938,140,95,55
20710,CESAR,SAN ALBERTO,625,550,140,15,0,25,13,,24,72,43,178,45,103,76,17
20750,CESAR,SAN DIEGO,236,187,4279,1927,121,126,336,24,56,107,61,45,22,247,52,9
20770,CESAR,SAN MARTIN,100,0,0,20,20,43,136,95,79,74,59,94,29,92,53,37
20787,CESAR,TAMALAMEQUE,0,0,44,250,32,12,15,52,31,43,,80,0,62,46,45
23001,CORDOBA,MONTERIA,5289,3546,2086,6833,910,1177,1253,2263,1726,2363,1905,1118,1921,818,641,158
23068,CORDOBA,AYAPEL,100,0,0,176,0,57,35,94,105,82,65,294,52,515,316,142
23079,CORDOBA,BUENAVISTA,80,0,0,89,45,75,49,91,64,61,80,600,31,188,125,26
23090,CORDOBA,CANALETE,0,0,0,0,0,8,23,109,0,74,16,47,17,138,102,20
23162,CORDOBA,CERETE,115,20,185,833,27,19,37,156,222,91,56,53,112,72,60,5
23168,CORDOBA,CHIMA,60,0,0,0,0,0,0,,0,,10,8,0,8,8,0
23182,CORDOBA,CHINU,0,0,348,62,0,5,26,86,60,72,44,62,45,28,36,5
23189,CORDOBA,CIENAGA DE ORO,0,0,23,0,0,35,16,70,46,54,13,53,46,34,43,10
23300,CORDOBA,COTORRA,0,0,15,89,0,12,42,14,5,21,39,9,56,6,13,1
23350,CORDOBA,LA APARTADA,870,0,0,1022,0,76,150,154,162,111,120,652,407,116,85,13
23417,CORDOBA,LORICA,515,0,60,0,0,98,82,53,48,76,38,383,36,207,182,30
23419,CORDOBA,LOS CORDOBAS,200,0,184,691,2,24,14,58,33,63,42,67,49,63,54,19
23464,CORDOBA,MOMIL,0,0,0,4,0,0,21,58,18,41,40,17,22,9,8,1
23466,CORDOBA,MONTELIBANO,2935,161,1225,2100,191,353,402,495,447,1568,615,2281,2104,1162,838,82
23500,CORDOBA,MOÑITOS,68,0,0,135,0,21,0,84,97,87,73,239,30,140,128,26
23555,CORDOBA,PLANETA RICA,130,0,185,178,106,8,132,451,270,186,176,837,592,487,264,52
23570,CORDOBA,PUEBLO NUEVO,0,0,0,94,15,0,88,112,146,65,50,193,109,98,129,54
23574,CORDOBA,PUERTO ESCONDIDO,95,0,20,449,0,0,13,76,66,66,49,120,8,121,159,29
23580,CORDOBA,PUERTO LIBERTADOR,3454,1727,505,320,172,82,861,1030,1001,4344,3390,1905,1972,1098,1732,250
23586,CORDOBA,PURISIMA,0,0,20,54,26,7,0,,0,0,5,16,3,17,16,1
23660,CORDOBA,SAHAGUN,350,0,15,516,0,99,85,63,64,182,166,74,113,58,72,11
23670,CORDOBA,SAN ANDRES SOTAVENTO,0,0,28,62,46,89,30,204,183,88,37,36,56,64,41,11
23672,CORDOBA,SAN ANTERO,0,0,0,20,0,0,20,17,0,4,,65,0,145,42,8
23675,CORDOBA,SAN BERNARDO DEL VIENTO,143,0,0,84,0,10,23,72,8,90,74,335,35,212,149,30
23678,CORDOBA,SAN CARLOS,0,0,0,0,0,6,14,73,19,68,22,39,4,30,53,17
23682,CORDOBA,SAN JOSE DE URE,,,,,,,,,,,52,145,0,172,154,35
23686,CORDOBA,SAN PELAYO,0,0,0,35,5,35,31,79,0,413,328,76,217,124,71,37
23807,CORDOBA,TIERRALTA,2670,3259,2015,3364,1047,366,149,320,758,2058,868,2024,2467,2328,2819,309
23815,CORDOBA,TUCHIN,,,,,,,,,,,,16,0,24,9,6
