"displ_1999","displ_2000","displ_2001","displ_2002","displ_2003","displ_2004","displ_2005","displ_2006","displ_2007","displ_2008","displ_2009","displ_2010","displ_2011","displ_2012","displ_2013","displ_2014","admin2Pcod","displ_mean"
0,0,35,2,0,0,0,NA,1,6,2,32,0,2,19,0,"CO15681",6.6
0,0,0,0,0,5,9,9,19,4,NA,12,0,3,0,0,"CO15686",4.06666666666667
0,0,13,32,0,5,0,NA,8,12,NA,4,0,4,2,0,"CO15690",5.71428571428571
0,0,0,25,15,14,10,NA,0,15,NA,0,0,1,0,0,"CO15693",5.71428571428571
0,0,0,0,0,0,0,NA,0,0,NA,0,0,5,0,0,"CO15696",0.357142857142857
0,0,0,0,0,0,0,48,3,0,NA,0,0,0,9,0,"CO15720",4
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15723",0
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15740",0
0,0,0,9,0,0,15,NA,8,0,5,0,4,0,0,0,"CO15753",2.73333333333333
56,0,0,20,0,5,0,NA,7,3,NA,3,0,11,10,12,"CO15755",9.07142857142857
0,0,0,0,0,24,16,8,0,8,10,12,0,10,8,4,"CO15757",6.25
649,680,443,445,132,583,383,128,160,115,121,17,52,6,21,3,"CO15759",246.125
0,0,25,0,0,7,0,NA,0,7,1,9,0,0,1,0,"CO15761",3.33333333333333
0,0,0,0,1,0,0,NA,0,0,NA,0,0,0,0,0,"CO15762",0.0714285714285714
0,0,0,0,0,0,5,NA,15,0,NA,0,4,0,0,0,"CO15763",1.71428571428571
0,0,0,0,0,0,0,NA,0,7,NA,0,0,0,0,0,"CO15764",0.5
0,0,0,0,0,0,0,NA,0,0,NA,3,0,0,0,0,"CO15774",0.214285714285714
0,0,0,0,0,0,0,NA,4,4,NA,0,0,0,0,0,"CO15776",0.571428571428571
0,0,15,0,4,3,0,41,0,0,NA,0,0,2,0,0,"CO15778",4.33333333333333
0,0,0,0,13,0,19,NA,3,20,NA,8,0,0,6,0,"CO15790",4.92857142857143
0,0,0,0,0,0,0,NA,0,0,3,0,0,0,3,0,"CO15798",0.4
0,34,0,0,0,0,0,NA,0,0,NA,3,0,0,3,0,"CO15804",2.85714285714286
0,0,0,19,26,32,21,NA,5,5,NA,0,0,0,0,0,"CO15806",7.71428571428571
0,0,0,0,0,0,0,NA,6,0,NA,0,1,0,0,0,"CO15808",0.5
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15810",0
0,36,49,0,0,0,0,NA,0,6,NA,3,4,0,4,0,"CO15814",7.28571428571429
0,0,10,20,0,0,0,NA,7,4,8,40,0,0,0,0,"CO15816",5.93333333333333
0,0,0,0,0,0,0,NA,0,0,NA,0,0,3,0,0,"CO15820",0.214285714285714
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15822",0
0,0,0,0,0,0,0,NA,0,0,NA,8,0,0,7,0,"CO15832",1.07142857142857
0,0,0,0,0,0,0,NA,1,0,NA,0,0,0,0,0,"CO15835",0.0714285714285714
0,0,0,3,0,0,0,NA,0,0,10,5,0,0,0,0,"CO15837",1.2
0,0,0,0,3,0,0,NA,0,2,NA,8,2,0,0,0,"CO15839",1.07142857142857
0,0,0,0,0,0,0,NA,0,0,NA,0,10,0,4,0,"CO15842",1
0,0,0,0,0,0,12,NA,11,NA,NA,8,0,0,0,0,"CO15861",2.38461538461538
0,0,11,13,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15879",1.71428571428571
0,0,0,0,7,0,35,11,0,23,19,1,0,0,2,0,"CO15897",6.125
1074,892,968,3073,987,895,1339,389,1141,1295,1021,185,308,91,146,18,"CO17001",863.875
15,46,0,37,38,127,54,18,82,41,9,61,2,44,18,4,"CO17013",37.25
0,0,276,81,19,54,55,80,200,163,95,119,26,71,86,15,"CO17042",83.75
0,0,0,55,11,5,10,34,7,16,6,26,7,4,3,7,"CO17050",11.9375
0,0,13,0,6,18,0,NA,9,18,16,44,17,0,23,12,"CO17088",11.7333333333333
0,0,32,21,82,48,50,86,163,114,82,114,19,53,59,15,"CO17174",58.625
0,48,0,0,2,0,0,NA,7,24,6,19,11,12,5,10,"CO17272",9.6
250,297,197,1440,106,104,50,18,140,149,69,238,106,105,103,52,"CO17380",214
0,0,0,10,3,5,0,NA,0,5,2,18,20,14,6,3,"CO17388",5.73333333333333
0,38,95,74,6,26,34,7,41,18,9,66,6,34,17,0,"CO17433",29.4375
25,0,0,0,0,7,0,NA,0,5,NA,12,15,20,25,2,"CO17442",7.92857142857143
0,0,15,3000,24,161,14,9,40,45,21,75,6,44,34,15,"CO17444",218.9375
0,30,0,28,6,7,8,67,4,3,NA,12,0,0,10,0,"CO17446",11.6666666666667
0,100,0,25,21,17,0,7,35,23,NA,44,0,8,24,11,"CO17486",21
50,0,0,360,0,8,5,22,23,2,16,41,37,32,15,0,"CO17495",38.1875
0,0,0,12,8,0,37,NA,13,5,11,21,4,22,15,0,"CO17513",9.86666666666667
0,60,0,0,34,18,40,NA,29,39,30,25,1,18,47,2,"CO17524",22.8666666666667
45,39,11,1284,77,652,42,84,218,91,32,156,12,117,120,29,"CO17541",188.0625
76,42,337,390,117,124,48,9,37,107,39,107,38,157,151,41,"CO17614",113.75
0,0,15,25,7,6,14,13,47,24,NA,41,44,11,41,4,"CO17616",19.4666666666667
90,65,0,20,9,2,33,13,4,NA,NA,67,3,16,21,9,"CO17653",25.1428571428571
55,223,219,2923,4453,3626,7027,4076,792,134,43,402,41,128,100,21,"CO17662",1516.4375
0,0,0,0,55,5,0,8,10,8,NA,12,1,25,5,1,"CO17665",8.66666666666667
103,17,12,88,0,24,5,NA,11,22,50,47,17,53,22,33,"CO17777",33.6
0,0,0,59,5,0,0,NA,9,5,21,35,2,8,25,6,"CO17867",11.6666666666667
0,0,0,98,59,77,75,13,48,104,67,35,24,21,4,7,"CO17873",39.5
0,0,0,31,12,17,18,NA,9,5,23,22,6,15,9,10,"CO17877",11.8
3340,1550,2575,9968,13046,11268,7026,3817,5812,6278,5021,1345,4780,1221,1252,448,"CO18001",4921.6875
0,0,26,13,65,40,117,35,117,136,46,231,37,115,163,27,"CO18029",73
0,0,483,239,203,94,355,224,265,320,243,400,147,263,263,97,"CO18094",224.75
123,0,0,35,0,3565,314,324,245,135,86,1607,1064,1599,1567,396,"CO18150",691.25
80,120,0,524,201,329,110,138,163,203,74,568,106,500,449,126,"CO18205",230.6875
215,583,183,333,16,89,112,97,55,224,241,719,535,578,497,149,"CO18247",289.125
167,438,224,212,53,501,204,288,269,467,366,1050,803,425,464,103,"CO18256",377.125
47,150,147,315,271,734,123,195,276,286,201,1689,368,873,887,350,"CO18410",432
0,0,0,77,18,1893,70,79,92,171,52,881,78,710,989,248,"CO18460",334.875
28,108,68,13,7,183,49,165,80,120,116,111,168,107,105,25,"CO18479",90.8125
276,519,311,74,0,236,333,508,425,318,315,1738,461,1711,1242,354,"CO18592",551.3125
168,0,18,59,21,187,112,115,234,145,111,733,140,680,618,124,"CO18610",216.5625
40,0,51,149,6,1735,333,494,315,692,362,2231,408,2058,2273,730,"CO18753",742.3125
0,0,18,0,0,267,104,104,50,183,98,958,102,801,611,219,"CO18756",219.6875
0,0,173,48,5,26,103,114,86,176,168,557,309,448,399,109,"CO18785",170.0625
0,150,55,61,205,124,75,229,121,219,111,434,211,236,272,51,"CO18860",159.625
3120,1550,10835,8194,1690,2900,5480,1560,6273,8666,7712,2376,8214,422,311,107,"CO19001",4338.125
0,60,0,24,0,5,10,NA,10,7,2,230,2,400,473,135,"CO19022",90.5333333333333
70,0,0,0,84,8,0,NA,2005,36,290,1748,1280,2511,1694,516,"CO19050",682.8
0,0,10,17,5,50,42,55,223,147,108,692,88,737,615,152,"CO19075",183.8125
70,40,69,41,221,25,42,19,66,71,26,882,57,1529,1391,404,"CO19100",309.5625
135,622,4630,4,6,32,51,57,19,45,32,253,45,157,565,94,"CO19110",421.6875
60,1020,1425,10,4,73,20,14,75,88,59,614,56,603,517,123,"CO19130",297.5625
737,45,70,0,0,12,15,NA,34,26,30,159,480,441,151,76,"CO19137",151.733333333333
136,310,1015,207,10,0,432,1500,32,288,75,2037,1658,1319,279,96,"CO19142",587.125
0,0,15,36,18,91,97,14,36,163,92,471,115,642,410,137,"CO19212",146.0625
150,35,1205,53,38,330,94,67,106,367,233,2244,1014,1865,1595,803,"CO19256",637.4375
40,0,0,3,3,44,57,NA,40,85,21,67,48,95,141,53,"CO19290",46.4666666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,14,39,12,"CO19300",16.4
0,0,12,1440,41,85,0,NA,1135,114,264,636,956,3491,3166,1320,"CO19318",844
0,0,0,0,6,13,0,47,32,29,43,167,34,152,242,70,"CO19355",52.1875
191,0,0,0,0,19,1200,NA,0,0,22,300,40,233,90,31,"CO19364",141.733333333333
220,0,0,3,204,0,0,NA,22,15,9,97,0,147,242,60,"CO19392",67.9333333333333
0,30,0,13,4,16,24,12,53,9,10,396,35,738,764,398,"CO19397",156.375
0,0,561,0,726,21,0,NA,233,1144,587,1214,106,1061,2061,199,"CO19418",527.533333333333
0,42,432,169,118,195,171,52,455,271,132,940,260,428,317,129,"CO19450",256.9375
95,0,330,28,20,0,0,NA,36,267,86,110,385,1611,640,38,"CO19455",243.066666666667
0,0,60,38,2,26,40,NA,64,129,202,175,440,2269,719,448,"CO19473",307.466666666667
0,0,0,0,0,0,0,NA,11,8,NA,17,0,17,19,4,"CO19513",5.42857142857143
0,0,0,5,12,55,109,1640,47,418,51,193,115,363,235,57,"CO19517",206.25
50,0,402,355,212,119,103,335,168,227,237,697,202,669,602,230,"CO19532",288
0,0,0,0,0,106,12,748,72,273,161,425,72,506,340,128,"CO19533",177.6875
138,31,348,169,36,107,115,43,130,193,185,120,151,184,114,54,"CO19548",132.375
120,0,11,61,0,12,0,NA,16,87,58,175,77,146,145,41,"CO19573",63.2666666666667
0,0,0,0,7,2,0,NA,0,1,NA,79,9,52,58,13,"CO19585",15.7857142857143
0,0,40,15,1,45,137,NA,156,135,78,209,52,183,139,51,"CO19622",82.7333333333333
0,0,0,0,0,129,7,NA,13,NA,NA,97,9,200,209,113,"CO19693",59.7692307692308
576,1115,5247,96,49,116,559,58,243,455,927,237,393,600,531,195,"CO19698",712.3125
0,0,15,0,250,167,28,NA,23,6,7,153,0,198,269,76,"CO19701",79.4666666666667
160,0,30,183,4,5,8130,NA,5,0,NA,164,4,265,209,66,"CO19743",658.928571428571
0,40,0,0,0,0,19,46,23,NA,8,30,3,159,141,31,"CO19760",33.3333333333333
60,831,4450,0,7,71,30,11,15,37,83,119,758,6231,4594,114,"CO19780",1088.1875
0,0,0,0,0,0,15,NA,0,92,16,167,95,251,179,66,"CO19785",58.7333333333333
40,77,90,124,100,63,103,75,229,235,340,213,267,323,268,87,"CO19807",164.625
0,0,70,152,0,0,5,NA,42,1450,318,678,1920,1910,2005,222,"CO19809",584.8
70,0,20,1501,255,304,4487,47,0,687,165,450,50,1430,464,363,"CO19821",643.3125
0,0,0,0,12,9,0,NA,11,7,5,39,0,104,75,17,"CO19824",18.6
0,0,0,0,5,24,9,NA,48,66,67,18,59,95,27,7,"CO19845",28.3333333333333
4632,1520,4624,11391,6635,4549,7282,4037,4295,6297,3012,3745,488,383,492,75,"CO20001",3966.0625
986,343,650,1436,672,459,535,235,346,353,373,481,395,158,287,63,"CO20011",485.75
544,293,2902,5191,440,1379,419,343,479,184,74,217,27,167,183,50,"CO20013",805.75
0,657,232,0,0,43,17,13,21,14,3,100,6,92,78,10,"CO20032",80.375
50,477,504,792,198,83,165,30,75,53,87,13,39,27,35,9,"CO20045",164.8125
180,441,686,1036,241,511,503,366,173,177,114,74,27,44,40,14,"CO20060",289.1875
0,0,245,0,4,43,20,NA,13,13,42,141,9,174,150,10,"CO20175",57.6
68,151,1364,116,163,54,90,30,20,227,42,78,38,42,58,55,"CO20178",162.25
768,246,425,774,560,237,461,123,130,81,94,809,31,110,95,53,"CO20228",312.3125
235,334,493,864,1367,392,91,34,5,NA,NA,114,8,41,52,6,"CO20238",288.285714285714
0,0,291,0,0,61,44,NA,52,NA,19,62,11,52,116,15,"CO20250",51.6428571428571
92,326,102,7,16,25,54,62,18,33,NA,41,41,32,7,10,"CO20295",57.7333333333333
0,0,25,0,0,0,16,NA,29,14,17,5,7,27,14,9,"CO20310",10.8666666666667
54,150,207,342,9,78,36,NA,5,98,22,75,11,37,34,4,"CO20383",77.4666666666667
447,164,66,40,79,394,195,13,29,68,61,65,34,101,50,10,"CO20400",113.5
0,0,115,972,315,386,178,51,272,69,12,19,43,42,6,3,"CO20443",155.1875
170,0,75,1296,195,753,75,97,95,90,82,107,24,80,47,30,"CO20517",201
0,352,0,1190,157,819,80,29,68,778,105,98,38,60,35,17,"CO20550",239.125
0,0,143,594,1253,531,0,36,79,76,34,27,16,41,20,10,"CO20570",178.75
185,0,60,165,0,10,47,NA,118,33,60,70,10,33,23,4,"CO20614",54.5333333333333
110,14,236,1126,16,106,61,148,230,379,169,61,938,140,95,55,"CO20621",242.75
625,550,140,15,0,25,13,NA,24,72,43,178,45,103,76,17,"CO20710",128.4
236,187,4279,1927,121,126,336,24,56,107,61,45,22,247,52,9,"CO20750",489.6875
100,0,0,20,20,43,136,95,79,74,59,94,29,92,53,37,"CO20770",58.1875
0,0,44,250,32,12,15,52,31,43,NA,80,0,62,46,45,"CO20787",47.4666666666667
5289,3546,2086,6833,910,1177,1253,2263,1726,2363,1905,1118,1921,818,641,158,"CO23001",2125.4375
100,0,0,176,0,57,35,94,105,82,65,294,52,515,316,142,"CO23068",127.0625
80,0,0,89,45,75,49,91,64,61,80,600,31,188,125,26,"CO23079",100.25
0,0,0,0,0,8,23,109,0,74,16,47,17,138,102,20,"CO23090",34.625
115,20,185,833,27,19,37,156,222,91,56,53,112,72,60,5,"CO23162",128.9375
60,0,0,0,0,0,0,NA,0,NA,10,8,0,8,8,0,"CO23168",6.71428571428571
0,0,348,62,0,5,26,86,60,72,44,62,45,28,36,5,"CO23182",54.9375
0,0,23,0,0,35,16,70,46,54,13,53,46,34,43,10,"CO23189",27.6875
0,0,15,89,0,12,42,14,5,21,39,9,56,6,13,1,"CO23300",20.125
870,0,0,1022,0,76,150,154,162,111,120,652,407,116,85,13,"CO23350",246.125
515,0,60,0,0,98,82,53,48,76,38,383,36,207,182,30,"CO23417",113
200,0,184,691,2,24,14,58,33,63,42,67,49,63,54,19,"CO23419",97.6875
0,0,0,4,0,0,21,58,18,41,40,17,22,9,8,1,"CO23464",14.9375
2935,161,1225,2100,191,353,402,495,447,1568,615,2281,2104,1162,838,82,"CO23466",1059.9375
68,0,0,135,0,21,0,84,97,87,73,239,30,140,128,26,"CO23500",70.5
130,0,185,178,106,8,132,451,270,186,176,837,592,487,264,52,"CO23555",253.375
0,0,0,94,15,0,88,112,146,65,50,193,109,98,129,54,"CO23570",72.0625
95,0,20,449,0,0,13,76,66,66,49,120,8,121,159,29,"CO23574",79.4375
3454,1727,505,320,172,82,861,1030,1001,4344,3390,1905,1972,1098,1732,250,"CO23580",1490.1875
0,0,20,54,26,7,0,NA,0,0,5,16,3,17,16,1,"CO23586",11
350,0,15,516,0,99,85,63,64,182,166,74,113,58,72,11,"CO23660",116.75
0,0,28,62,46,89,30,204,183,88,37,36,56,64,41,11,"CO23670",60.9375
0,0,0,20,0,0,20,17,0,4,NA,65,0,145,42,8,"CO23672",21.4
143,0,0,84,0,10,23,72,8,90,74,335,35,212,149,30,"CO23675",79.0625
0,0,0,0,0,6,14,73,19,68,22,39,4,30,53,17,"CO23678",21.5625
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,145,0,172,154,35,"CO23682",93
0,0,0,35,5,35,31,79,0,413,328,76,217,124,71,37,"CO23686",90.6875
2670,3259,2015,3364,1047,366,149,320,758,2058,868,2024,2467,2328,2819,309,"CO23807",1676.3125
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,24,9,6,"CO23815",11
3185,30,185,3383,90,549,567,496,838,551,263,317,57,300,423,104,"CO23855",708.625
0,0,59,39,7,0,45,29,27,18,NA,13,0,2,4,0,"CO25001",16.2
0,0,0,50,15,13,34,17,34,NA,7,14,0,2,7,4,"CO25019",13.1333333333333
0,0,41,60,9,21,45,66,37,82,50,9,10,13,18,1,"CO25035",28.875
0,0,0,18,2,24,47,56,22,20,NA,0,16,1,10,0,"CO25040",14.4
115,0,0,0,0,0,45,83,23,30,37,78,4,15,14,7,"CO25053",28.1875
0,0,30,5,0,31,19,7,12,0,NA,5,0,3,14,0,"CO25086",8.4
0,0,0,0,0,15,0,NA,0,24,NA,9,2,0,0,0,"CO25095",3.57142857142857
0,0,10,8,8,24,0,NA,10,7,NA,4,6,6,0,0,"CO25099",5.92857142857143
102,0,0,0,0,43,17,77,25,49,76,84,13,34,26,14,"CO25120",35
0,0,20,43,36,0,15,NA,13,16,9,19,4,3,0,0,"CO25123",11.8666666666667
0,0,18,68,33,20,77,47,27,53,50,5,13,0,6,0,"CO25126",26.0625
0,485,314,56,24,5,28,74,42,31,9,85,22,39,12,8,"CO25148",77.125
112,135,0,0,2,8,49,40,11,16,NA,14,0,8,0,0,"CO25151",26.3333333333333
0,0,0,0,0,0,19,NA,5,NA,NA,4,0,0,0,0,"CO25154",2.15384615384615
50,0,0,1,7,0,8,11,3,14,NA,10,0,16,13,5,"CO25168",9.2
0,0,67,98,69,214,200,227,299,267,180,14,73,0,1,0,"CO25175",106.8125
0,0,28,1,2,13,7,NA,0,10,NA,4,3,5,3,0,"CO25178",5.42857142857143
30,0,0,0,0,8,14,NA,0,36,NA,8,12,0,0,0,"CO25181",7.71428571428571
0,0,13,9,17,37,42,17,26,10,8,4,15,0,1,0,"CO25183",12.4375
0,0,0,15,6,7,43,63,8,9,16,0,12,0,0,0,"CO25200",11.1875
0,0,26,18,14,16,47,66,40,38,20,0,25,3,0,0,"CO25214",19.5625
0,0,0,0,0,0,12,NA,10,0,NA,0,0,0,0,5,"CO25224",1.92857142857143
0,0,28,36,16,39,34,58,24,40,23,53,27,22,17,0,"CO25245",26.0625
0,0,0,0,6,15,5,NA,0,1,NA,35,0,6,6,0,"CO25258",5.28571428571429
0,0,0,14,17,7,10,59,36,81,62,0,24,0,0,0,"CO25260",19.375
115,0,265,530,265,290,357,203,443,315,215,19,115,15,17,4,"CO25269",198
56,75,35,19,0,11,5,NA,6,11,4,10,3,8,14,0,"CO25279",17.1333333333333
0,0,0,0,0,0,0,NA,0,0,NA,0,0,4,0,0,"CO25281",0.285714285714286
60,0,98,147,64,48,169,173,127,160,158,18,80,10,17,0,"CO25286",83.0625
0,0,14,0,0,0,0,NA,0,0,NA,0,0,0,2,0,"CO25288",1.14285714285714
170,0,486,277,338,297,507,389,714,797,1332,905,708,41,52,6,"CO25290",438.6875
43,60,0,0,10,10,6,24,1,0,NA,8,0,4,1,1,"CO25293",11.2
0,0,0,19,20,8,10,50,27,20,28,0,20,7,0,0,"CO25295",13.0625
0,0,0,0,6,8,0,NA,0,14,5,31,7,8,3,2,"CO25297",5.6
0,0,0,0,0,5,0,NA,0,0,NA,0,0,4,4,0,"CO25299",0.928571428571429
367,0,189,442,72,51,120,121,264,84,83,50,56,37,19,12,"CO25307",122.9375
0,0,0,20,5,22,84,28,19,12,13,0,0,1,0,0,"CO25312",12.75
0,0,0,0,0,0,7,20,14,21,17,3,54,0,0,0,"CO25317",8.5
20,0,156,122,19,30,42,107,169,71,26,45,10,9,26,7,"CO25320",53.6875
0,0,0,0,11,17,46,75,36,39,37,0,10,0,0,6,"CO25322",17.3125
0,0,0,0,0,0,6,NA,0,1,2,4,0,0,0,5,"CO25324",1.2
0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,"CO25326",0
0,0,0,0,0,0,12,77,4,8,NA,22,1,0,0,0,"CO25328",8.26666666666667
0,153,40,27,0,8,0,NA,0,10,10,9,18,6,0,0,"CO25335",18.7333333333333
0,0,90,59,0,0,15,6,0,2,14,19,26,16,8,5,"CO25339",16.25
0,0,0,0,0,0,0,NA,0,0,NA,30,0,7,3,2,"CO25368",3
0,0,0,0,0,0,13,NA,0,0,NA,16,0,15,0,0,"CO25372",3.14285714285714
49,0,0,21,13,0,35,NA,23,NA,13,10,3,3,9,0,"CO25377",12.7857142857143
105,0,23,66,24,22,82,83,64,154,74,14,37,15,7,7,"CO25386",48.5625
183,1680,1048,2979,121,100,5,48,4,12,6,72,2,32,28,29,"CO25394",396.8125
0,86,0,0,3,1,5,NA,1,10,NA,36,0,3,10,4,"CO25398",11.3571428571429
0,0,59,54,19,5,48,56,32,22,26,18,11,7,0,0,"CO25402",22.3125
0,0,0,0,0,0,0,NA,0,0,7,0,2,4,3,0,"CO25407",1.06666666666667
0,48,0,0,0,0,7,19,0,0,NA,0,0,0,0,0,"CO25426",4.93333333333333
125,0,189,127,96,54,118,82,99,129,130,17,82,0,5,0,"CO25430",78.3125
0,20,0,7,4,1,5,NA,0,1,1,0,0,0,0,0,"CO25436",2.6
0,0,0,56,77,13,127,79,37,58,27,124,83,22,19,9,"CO25438",45.6875
30,0,221,167,139,85,137,152,200,118,65,17,40,17,0,6,"CO25473",87.125
0,0,0,0,0,0,0,NA,0,0,NA,0,0,4,3,0,"CO25483",0.5
0,0,0,37,0,16,33,8,19,32,12,13,4,6,0,0,"CO25486",11.25
0,0,0,0,0,0,14,NA,30,20,34,9,26,5,8,0,"CO25488",9.73333333333333
0,0,0,27,6,6,10,NA,11,0,NA,4,0,0,0,0,"CO25489",4.57142857142857
0,0,0,52,0,23,19,24,32,2,5,6,0,6,2,0,"CO25491",10.6875
40,0,0,0,9,0,13,23,6,18,32,96,9,36,43,10,"CO25506",20.9375
0,245,17,42,87,30,75,35,30,26,41,70,34,24,8,4,"CO25513",48
0,0,0,0,2,0,16,79,0,6,3,59,0,0,0,1,"CO25518",10.375
0,0,11,17,14,0,16,34,15,5,11,40,10,18,27,0,"CO25524",13.625
0,0,0,0,0,14,46,59,49,79,19,40,24,38,8,0,"CO25530",23.5
51,0,0,0,0,18,36,52,0,5,16,36,0,13,22,14,"CO25535",16.4375
0,123,104,79,29,9,52,83,39,46,36,63,6,10,11,0,"CO25572",43.125
0,0,0,0,0,10,31,11,5,11,NA,28,3,14,0,2,"CO25580",7.66666666666667
0,528,149,4,0,0,13,NA,0,0,NA,10,2,0,0,0,"CO25592",50.4285714285714
0,0,0,0,3,0,0,NA,39,NA,NA,0,6,0,4,0,"CO25594",4
0,70,0,8,5,10,18,NA,9,NA,NA,61,11,16,13,0,"CO25596",17
20,0,0,0,0,0,0,NA,20,30,13,31,13,0,0,0,"CO25599",8.46666666666667
0,0,17,4,0,0,0,62,14,6,16,3,1,4,0,0,"CO25612",7.9375
0,0,0,4,256,12,28,38,6,12,9,6,0,0,11,0,"CO25645",23.875
10,0,0,16,0,0,13,NA,15,16,14,58,1,10,13,9,"CO25649",11.6666666666667
0,0,0,0,0,0,0,NA,3,0,NA,5,0,8,0,0,"CO25653",1.14285714285714
0,0,40,103,37,477,70,78,39,19,21,14,8,0,0,0,"CO25658",56.625
0,0,30,3,9,40,22,9,4,37,5,39,17,15,19,6,"CO25662",15.9375
0,0,32,104,109,8,44,118,192,19,NA,4,0,0,0,3,"CO25718",42.2
0,0,0,14,4,0,9,5,0,10,6,12,7,0,0,0,"CO25736",4.1875
0,0,13,47,11,0,49,5,33,106,108,9,39,10,19,0,"CO25740",28.0625
0,0,0,35,384,77,64,64,55,105,111,80,32,38,0,4,"CO25743",65.5625
0,0,10,0,0,0,0,NA,9,4,NA,0,8,0,0,0,"CO25745",2.21428571428571
2083,845,1030,2861,1286,4166,3325,3916,4009,4671,4467,2132,2391,334,210,127,"CO25754",2365.8125
0,0,0,52,13,0,33,NA,2,1,NA,0,0,6,0,0,"CO25758",7.64285714285714
0,0,0,0,10,0,0,NA,5,NA,9,6,3,0,4,0,"CO25769",2.64285714285714
0,0,0,0,0,14,27,11,2,8,7,3,9,0,0,0,"CO25772",5.0625
0,0,0,0,0,24,14,NA,0,4,NA,1,4,0,0,0,"CO25777",3.35714285714286
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,3,0,"CO25779",0.214285714285714
0,0,0,2,0,0,0,NA,11,16,NA,0,9,0,0,0,"CO25781",2.71428571428571
0,0,32,3,18,15,54,9,18,17,20,0,11,0,0,0,"CO25785",12.3125
0,0,0,0,0,0,0,NA,0,0,NA,4,0,0,0,0,"CO25793",0.285714285714286
0,0,12,6,12,11,21,NA,15,15,6,8,4,0,0,0,"CO25797",7.33333333333333
0,0,11,77,33,27,48,89,13,29,30,1,17,5,0,0,"CO25799",23.75
0,0,0,0,3,6,7,NA,14,0,2,22,11,17,5,0,"CO25805",5.8
0,0,0,0,0,0,0,19,7,0,NA,0,0,0,3,0,"CO25807",1.93333333333333
0,0,0,0,8,5,5,15,18,12,13,19,20,7,2,0,"CO25815",7.75
0,0,15,25,12,45,39,59,38,77,38,23,44,0,3,0,"CO25817",26.125
0,200,0,0,0,0,0,81,6,21,NA,49,8,12,6,4,"CO25823",25.8
74,0,0,0,0,0,23,NA,0,NA,2,12,11,20,22,3,"CO25839",11.9285714285714
0,0,0,0,5,7,10,NA,4,4,NA,5,0,0,0,0,"CO25841",2.5
0,0,0,25,0,0,26,57,5,33,21,5,32,0,6,4,"CO25843",13.375
0,0,0,33,0,0,7,15,25,0,9,9,3,3,3,4,"CO25845",6.9375
0,65,62,212,6,0,17,51,9,15,NA,4,0,1,10,0,"CO25851",30.1333333333333
0,0,0,30,6,20,78,59,32,39,13,36,13,9,0,7,"CO25862",21.375
0,0,0,0,0,0,0,NA,6,8,7,12,0,4,6,0,"CO25867",2.86666666666667
0,0,0,8,11,0,0,NA,0,NA,NA,0,0,0,1,4,"CO25871",1.84615384615385
